"You will be redirected to NETS payment window..", "You will be redirected to NETS payment window to complete the payment."
"Place Order","Place Order"
"Visa", "Visa"
"Master", "MasterCard"
"Amex", "Amex"
"Diners", "Diners"
"Dankort", "Dankort"
"MobilePay", "Mobile Pay", 
"Customer successfully returned from NETS","Customer successfully returned from NETS Payment Gateway"
"Callback was received from NETS","Callback was received from NETS Payment Gateway"
"Transaction Id","Transaction Id"
"Authorization failed", "Authorization failed, check your NETS API user/password in Magento admin"
"404 Error", "The requested URL [URL] was not found on this server. Service anavailable (404)"
"Transaction was captured", "Transaction was successfully captured online through NETS"
"Transaction was refunded", "Transaction was successfully refunded online through NETS"
"Refund declined",  "Online refund was declined by NETS"
"Capture declined", "Online capture was declined by NETS"
"Nordea", "Nordea"
"Paypal", "Paypal"
"SEB Bank", "SEB Bank"
"Swedbank", "Swedbank"
"Credit card", "Credit card"
"Dibs fee", "NETS fee"
"Missing orderid", "DIBS Payment was not processed in Magento. Missing OrderId parameter. OrderId must be checked in Metaadmin Integration->Return Values"
"mac code error", "NETS MAC code error"
